"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2005,7.9,1145,41.708280193,-71.522470314,0,0,1,1,0
1999,16.6,581,38.3477403,-98.200781227,0,0,0,1,1
2007,10.3,1103,34.86597028,-111.763811277,1,1,0,1,1
2013,0,1225,39.766910452,-86.149960194,1,0,1,0,1
2000,6.9,1513,37.638640123,-120.999999538,0,0,1,1,0
2004,34.1,691,32.840571122,-86.631860762,0,1,0,0,1
2015,1.4,1152,40.485010283,-88.997710178,1,0,0,1,1
2011,0.3,659,21.304850435,-157.857749403,1,0,1,0,0
2010,38.9,1168,40.793730152,-77.860700294,0,1,0,1,0
2000,16.9,3835,46.355648736,-94.794200503,1,1,0,0,0
2006,16.4,1038,41.641040988001,-99.365720623,1,1,0,1,1
2015,2.2,924,47.475319779,-100.118421049,1,0,0,0,1
2015,3.9,1148,40.485010283,-88.997710178,1,1,0,0,1
2004,25.7,1578,35.466220975,-79.159250463,0,0,0,0,0
2000,23.3,15382,39.290580964,-76.609260111,0,0,0,1,0
2010,44.8,1300,39.766910452,-86.149960194,0,1,0,1,0
2013,0,886,21.304850435,-157.857749403,1,0,1,1,1
2014,3.4,1161,39.008830667,-75.577741168,0,0,0,1,1
2014,13.7,1125,39.008830667,-75.577741168,0,1,0,1,1
2000,40.6,800,38.665510202,-80.712640135,0,0,0,0,0
2013,15.9,404,40.060210141,-82.404260056,0,1,0,1,1
2007,1,756,37.542680674,-78.457890463,1,0,0,0,1
2000,16.3,607,37.645970271,-84.774971048,1,0,0,1,1
2005,0,1602,35.466220975,-79.159250463,1,0,1,0,1
2006,0.4,718,40.793730152,-77.860700294,1,0,1,0,1
2013,3,923,40.485010283,-88.997710178,0,0,0,0,1
2000,2.7,1156,42.827001032,-75.543970427,1,0,1,1,0
2000,2.2,624,40.060210141,-82.404260056,1,0,0,0,0
2004,11.9,706,43.655950113,-71.50036092,1,0,0,1,0
1999,1.7,832,32.745510099,-89.538030825,1,0,0,0,0
2009,1.4,1092,35.472031356,-97.521070214,1,0,1,1,1
2003,0.3,1300,39.360700171,-111.587130635,0,0,1,1,1
2013,32,606,31.312660644,-92.445680071,1,1,0,1,0
2000,11.3,763,38.3477403,-98.200781227,0,0,1,1,0
2009,2.5,545,31.312660644,-92.445680071,1,0,0,0,0
2006,0.4,1124,42.469400913,-93.816490556,1,0,1,0,0
2000,2.6,778,38.3477403,-98.200781227,0,0,1,0,1
2007,40,970,41.56266102,-72.649840952,0,1,0,0,0
2004,30.3,878,42.469400913,-93.816490556,1,1,0,1,0
2002,18.9,19197,39.290580964,-76.609260111,0,0,0,0,0
2004,19.4,1706,39.766910452,-86.149960194,0,0,0,0,0
2003,0.6,1437,39.360700171,-111.587130635,1,0,1,0,1
1999,3.7,712,35.68094058,-85.774490914,1,0,0,0,0
2000,1.3,894,42.469400913,-93.816490556,1,0,1,1,1
2007,22.7,1261,44.661319543001,-84.71439027,0,0,0,1,0
2007,53.2,598,33.998821303,-81.045371207,0,1,0,0,0
2005,0.9,1004,41.56266102,-72.649840952,1,0,0,0,1
2009,16.5,669,38.3477403,-98.200781227,0,0,0,1,0
2010,0.9,1072,39.008830667,-75.577741168,0,0,1,0,1
2002,7.2,2090,42.827001032,-75.543970427,1,0,0,1,1
2002,14.7,697,44.393191174,-89.816370742,0,0,1,0,0
2013,14.6,1847,35.466220975,-79.159250463,1,0,0,1,0
2011,36.7,2517,35.466220975,-79.159250463,0,1,0,0,0
2006,6.9,555,40.485010283,-88.997710178,0,0,1,0,0
2003,23.3,1862,44.661319543001,-84.71439027,0,1,0,1,1
2002,8,2305,46.355648736,-94.794200503,0,0,0,0,1
2012,24,1214,41.641040988001,-99.365720623,1,1,0,1,0
2000,4.1,806,40.060210141,-82.404260056,0,0,1,1,1
2007,5.1,740,38.665510202,-80.712640135,1,0,1,1,1
2010,3.1,567,32.840571122,-86.631860762,1,0,1,1,1
2014,17.5,660,32.840571122,-86.631860762,1,0,0,1,0
2007,6.9,1067,47.475319779,-100.118421049,1,1,0,0,1
2004,2.6,1471,32.745510099,-89.538030825,0,0,1,0,1
2013,6.4,842,32.745510099,-89.538030825,1,1,0,0,0
2010,7.4,598,40.485010283,-88.997710178,0,0,1,1,0
2003,16.5,800,34.86597028,-111.763811277,0,0,0,0,0
2013,1,944,40.130570048,-74.273691288,1,0,0,0,0
2013,1.6,993,31.312660644,-92.445680071,1,0,1,1,1
2013,3.5,709,31.312660644,-92.445680071,1,0,0,0,0
2000,0.7,1016,34.86597028,-111.763811277,1,0,1,0,1
1999,61,192,34.748650124,-92.274490743,0,1,0,1,1
2000,0.6,1001,34.86597028,-111.763811277,1,0,1,1,1
2012,11.1,874,40.130570048,-74.273691288,0,0,0,1,0
2008,3.4,1182,40.793730152,-77.860700294,1,0,0,0,0
2000,4.6,944,43.235541343,-108.109830353,0,0,1,0,1
2011,3.7,2594,35.466220975,-79.159250463,1,0,0,1,1
